"Pt22.baseline"	"Pt38.baseline"	"Pt23.baseline"	"Pt20.baseline"	"Pt27A.baseline"	"Pt29.baseline"	"Pt13.baseline"	"Pt1.baseline"	"Pt32.baseline"	"Pt14.baseline"	"Pt2.baseline"	"Pt6.baseline"	"Pt9.baseline"
"FGR"	3.03189447716154	4.34597821885533	4.00913214952379	3.37941371916525	2.52864882726746	1.58394744820707	2.76142889735576	2.59214962824925	1.18562554755028	2.38433168518374	2.29998164506654	2.07826141456305	2.15227429462063
"NLRC4"	1.76271874453827	0.997818439208661	1.50758408648162	0.892835909721869	1.01106834891137	1.25913687486389	1.44833538840169	0.986457901720424	0.723083191049636	1.03982623046508	1.1319581771594	0.887445335423526	0.503488163506068
"TYROBP"	8.41859054722459	7.18366515303274	9.37712808831642	9.33930443633967	7.65974977512686	7.88178390099571	8.34922814285652	7.05978788280749	7.1781768163937	7.15763494029967	7.58759001940925	6.95270048428858	7.13951554037529
"C1orf162"	5.14147570817945	5.5551811559105	5.23880023196329	5.1018664473176	4.5450664028109	4.29917137804795	5.24783639298454	4.4810986968747	3.76110439317571	3.34245803160598	3.88333244394597	2.93913534836469	3.37543915892868
"SIRPB1"	3.25596745635549	3.34121724344506	2.87789930679743	3.3160349286294	3.20359819526394	2.41754335693108	2.43623514512686	3.05881953262263	1.46997972236483	4.68636885774399	3.40100645614724	4.04266184573722	2.7855610135943
"ACP5"	7.09301077928916	7.45036173276647	8.04992476528855	8.97028711509697	6.45194463880064	5.91626404622664	5.07518389493543	6.63705736414762	4.27771700585148	4.00945019263065	7.06691796369235	8.31296007842949	7.0129150038807
"CD33"	3.4873474240931	1.78634543658521	2.7703649837687	3.38974576092671	2.45602809295583	2.41166622296786	2.75042964059091	1.86631456137705	1.20105666770691	2.17302666523031	2.01115746755663	2.01225042314048	2.64896581265944
"MS4A7"	5.53409585107677	3.34058505573753	4.91835760926076	4.22940719002682	4.12367033451306	5.21000499352922	4.91151662651688	4.01966633582775	3.36379344683937	3.92763101892366	4.36083479653459	5.03509599789673	3.31458197547234
"RASGRP4"	1.63091097855525	0.648985363811558	1.6746120542793	1.07125125240213	1.15249172363308	1.24786676711035	1.04986771266874	1.15570390492241	0.860756258251003	0.883394815459227	0.799488551650361	1.16173292689944	0.806808243173259
"MARCO"	2.34107630666854	3.11006585314977	3.49523337515346	3.712414194129	3.4651190387743	2.06581354477551	4.20667838455842	3.15260610410129	0.281994917803122	4.29817807037101	4.40206042610652	0.177295178795456	2.14468923750194
"RETN"	0.653982679846214	0	1.7061370868356	0	0.63279912265361	0.574904154857338	1.940884629834	0.347759754362555	0.451317158386174	1.09236780382021	0.134084222317652	0.3466001061283	0.301250490640407
"LIPA"	7.36264083482827	5.69189981720469	6.65739634407751	5.98741069045652	6.78739981335073	7.03742066114266	5.82571313479608	6.43924745606738	3.88388469978015	6.31631683491057	7.21597945023547	6.90261026817974	5.67518786089745
