"Pt20.baseline"	"Pt38.baseline"	"Pt13.baseline"	"Pt23.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt9.baseline"	"Pt14.baseline"	"Pt10.baseline"	"Pt32.baseline"
"GRASP"	0	0	0	0	0	0	0	0	0	0	0
"TDRD10"	0.0960292810753278	0.101078122467286	0.073632713263402	0.146641546823719	0.0465243666780735	0.223181649072284	0.218633922362275	0.171208400884025	0.0743349675127669	0.323111731675984	0.107488386912478
"ABC7.42404400C24.1"	0	0	0	0	0	0	0	0	0	0	0
"NDNF"	0.0108145767010934	0	0.00977260392433372	0.0150326178010118	0.0112433208330747	0.0129951735436209	0.0397090104446473	0.0339945149091615	0.00241886331758001	0.0159195268540466	0.103700407374914
"TLL1"	0.0151869500654793	0.0290849426151482	0.0118049803379805	0.0288432993241051	0.00670577849678041	0.0901064917732092	0.0956480166117574	0.0306040138844054	0.0410265524468137	0.0078295465145102	0.0379692502039849
"MAP1LC3C"	0.0192490528015492	0.224616042334063	0.0412067822033739	0.0389613997788646	0.0197044368032449	0.105977928978245	0.254516668085216	0.0272514902513551	0.103271606682522	0.0268838173367353	0.149814030032613
"GYPE"	0.0460590563214123	0.380057498447198	0.0444587291811102	0.0513499240663003	0.00320197124439616	0.0495258381740043	0.192488320444244	0.189869987250805	0.0202318080486208	0.023116253477357	0.25890019178308
"GLDN"	0.0676234213621788	0.024278981534064	0.0980806108032825	0.0962219870763179	0.00150934921682205	0.165361246642678	0.222147560080886	0.140357708134001	0.0238275214870915	0.062939027143997	0.0974123178046169
"RGCC"	1.18164558697148	0.746710432040822	0.519527163730205	1.6212368375724	0.343509253935671	0.948499125919363	1.10640570240363	0.755411365938213	0.690279042134217	0.699709631874423	1.10623200927182
"CFH"	0.761399482073806	1.69758800933868	2.46189169314215	0.983391330980477	0.548390040003193	2.2355053170868	2.10344605326498	1.92195504891998	0.744131672728988	0.750247140408405	3.74747146224692
"HIGD1B"	0.0783353439706142	0.0146172604911118	0.0996641148783942	0.235518245756152	0.172204557113558	0.0913674806476079	0.178004275340291	0.038385752060942	0.0691787427892814	0.0615125784402893	0.0857408287804811
"CD1A"	0.026654804368885	0.630518175342657	0.0849060427761568	0.0162308563707715	0.00339202637413037	0.0352396411853053	0.0238255368183386	0.0102291174247446	0.00527539394454693	0.00769027047098776	0.0132693015945015
"CD207"	0.00983049765158363	0.035152695345561	0.0053202407041292	0.0119279952335305	0.0138511187705224	0.00646471582651635	0.0174625481697176	0.00266671257911595	0.00169150713174547	0.0121552328462111	0.0172516665238135
"CD1E"	0.147126776890222	0.124600844250588	0.256142881407115	0.0221198255207985	0.139119718775623	0.315354398765044	0.150007935133183	0.0877009049905537	0.011417067739336	0.00222440007718514	0.0260634765541493
"FCER1A"	0.0471075296305397	0.0476677754805652	0.387227891040802	0.0453836086429207	0.175320805146595	0.221778920171563	0.267893973949224	0.208236265050759	0.0465063222019074	0.00961730177457613	0.179166837324084
"CD1B"	0.0532004794034422	0.0196722527540031	0.027800694878998	0.00275298396924336	0.0188908863643741	0.112509582021337	0.0228235173856605	0.0361630292993754	0.000869803854444318	0.000974977669024642	0
"CD1C"	0.252933910651455	1.7018167190019	0.246874899140454	0.0154486322249748	0.105442565720477	0.350267427146667	0.273107487375196	0.112339427575549	0.0175337971779562	0.0138573566616952	0.0297705486630791
"S100B"	5.13918756724203	4.48663382105256	7.08911427840712	3.2088027515163	5.64355597295579	8.06118839453091	5.99160416700706	6.99212698256573	0.360136777057351	6.35734199237684	0.32070016457619
"IL22RA2"	0.00198335651605824	0.303962743544378	0.0336091683418345	0	0.00315450787191155	0.00277518460956994	0.00321593449652889	0	0	0	0
"HLA.DQB2"	0	0	0	0	0	0	0	0	0	0	0
"CCL22"	0.129469092807817	1.38032777225932	0.182613049173157	0.0487959632065866	0.107927072244277	0.315248088015917	0.118265192723947	0.0371299666930034	0.0270876603334434	0.0136168532830017	0.105872286470328
"CCL17"	0.455319719402672	0.748670184107297	0.0344623170244136	0.0546082635311209	0.0587397146189755	0.686244957303507	0.200665905307544	0.179070803075207	0.0826329340301308	0.00441655194917447	0
"HPGDS"	0.0162908530601242	0.00636990752130416	0.0596713325534139	0.19222491107275	0.0574892659763312	0.288647644206109	0.1712208879331	0.119790024983929	0.12217520156581	0.0707685141913143	0.0101669166842538
"CXCL8"	0.138931100037245	0.090153151630269	0.813999585489132	2.01775863111442	0.389975053437638	0.246877039304338	1.27393701863612	0.294115195678321	1.82459837175965	2.41758679916569	0.0707368935049277
"CSF2"	0.0636982171638223	0.0332312359948889	0.0293004963732004	0.0207437175806629	0	0.0621534539591715	0.0220587072018838	0.00367010117311298	0.0669773647513319	0.00293830424652322	0
