"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"CD37"	1.64566744517962	-1.15427112271758	-1.71339096613137	0.979026921032464	0.381692693177934	-0.211302294843477	0.115097782649266	-1.62144412461619	0.675070423018369	1.09601743048029	-0.435437683445367	0.0881763404923427	1.04322333233755	-0.162083174344566	0.344105635703503	-1.0701486379728
"S1PR4"	-0.451305170843336	3.15620574638768	-0.451305170843336	-0.451305170843336	-0.451305170843336	-0.451305170843336	-0.451305170843336	1.52148706084743	-0.451305170843336	-0.451305170843336	-0.451305170843336	0.309710589767658	-0.451305170843336	-0.451305170843336	-0.451305170843336	0.428258653117256
"MARCH4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BIRC2"	0.153475219833026	-1.65375503412258	-1.71252174886244	0.00063773635665132	0.665898170174849	0.57898884390911	0.297248799134363	-2.41004377930126	0.813233046400071	0.729581276131039	0.341260994431088	0.364090492612593	0.775750808353957	0.70113685922351	0.308721166049693	0.04629714967632
"DDX10"	1.08973009655677	-0.801520865529919	-0.575541050618039	0.0756947330476664	-1.30363132129901	-1.75314402734451	0.0997748420278328	-1.68068467368046	1.32809395201921	1.10325165758609	0.767733311778877	0.681027197927892	-0.171468810991143	-0.313566342040078	0.782315128482669	0.671936172076155
"RTTN"	0.883767213048159	-0.0467476265340502	-1.5790537820152	-0.577010900584891	0.945634450517991	0.693885009436438	-1.10402806782187	-1.66899978170719	1.55492579881959	1.35561232877809	-0.385520749639082	-0.496322226864008	0.774580677858946	0.557959490514221	-0.58793020594976	-0.320751627857371
"RCL1"	1.02568477086403	0.775512647986348	-0.806452743342124	-0.548471708308356	-2.61384707360192	-0.298742629413495	-0.532765242832629	-0.247178231820023	1.33852361925256	1.06067922408606	0.478987617470372	-0.0544038674988565	-0.656296596057166	-0.457314533013892	0.484961744657433	1.05112300157166
"C6orf203"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"UTS2"	-0.462732957740152	-0.462732957740152	-0.462732957740152	2.16390147651197	-0.462732957740152	2.16709335958592	-0.462732957740152	-0.462732957740152	-0.462732957740152	-0.462732957740152	-0.462732957740152	1.68453361452409	-0.462732957740152	-0.462732957740152	-0.462732957740152	-0.462732957740152
"PQBP1"	-0.269687191368302	1.7368371591359	1.55429940814535	-0.53216522652141	-1.20078773431761	-0.836384138891641	-0.38950285388683	2.3187337080556	-0.432872533770432	-0.218980952699271	-0.318137967319863	-0.264501410602754	-0.510583950586052	-0.76581363085964	-0.309318001051558	0.438865316538506
