"Pt22.baseline"	"Pt9.baseline"	"Pt1.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt32.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt4.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt2.baseline"
"RUNX1T1"	0.304259883440975	0.110736602923699	0.22020851528106	0.167055827401244	0.129644912183401	0.0952061578800745	0.0763469552731805	0.824965050735106	0.052725452445943	0.0221256567141573	0.087140410324366	0.0860279193766442	0.113742705495579	0.0157878529168	0.029384480205683	0.0337033494210554	0.036289760866643
"FABP4"	4.86406011719178	3.80167998527565	1.66997751778167	0.0793578029167153	0.199085324588734	0.150686559780473	2.57173217939985	0.990039224619073	0.0952149677447097	1.71578471372762	0.670575168139556	0.0902956970973178	0.207721638356229	0.0884031226103659	1.15651819557948	0.270829460481074	0.112657795519255
"DPP6"	0.0404004044513253	0.0022343882031873	0.0312951273893122	0.0450311646538773	0.00310882289784143	0.0287081002711751	0.0698506620583156	0.539217863739288	2.85970436629565	0.0710399724205655	0.00911268839712867	0.00585549554862406	0.0696928546224122	0.0173833014340248	0.468167953511344	0.0584160143637117	0.100126454147476
"AOX1"	3.64875996144758	3.52732313703717	4.79202721667231	1.69098566066809	1.9284157814555	1.99022756351369	5.9594352015552	0.285795866745006	1.44001212801667	1.94009549925108	1.30219286033047	0.557445708622467	3.49174489248744	0.699636630584107	0.835998498978607	0.902430856572503	8.73914553006218
"CD36"	4.75526174715672	2.36644636602672	2.24946912106898	1.52738821791383	0.587416767949407	2.83971528944255	1.92485008092671	1.90866513751262	0.467641391969307	1.40421977676444	2.66663416680539	1.65378576538673	0.620592895735627	2.37311979402403	1.43237825540169	0.238229189392307	1.33290875292909
"NEGR1"	0.375628916100308	0.129939879547463	0.188824748053114	0.624516524510576	0.091867660394478	1.66062869698099	0.0417541162010388	0.69649004593476	0.0894621513054591	0.0121571621719742	0.0492666105179592	0.0162487117223411	0.0757852122161622	0.00791257216605951	0.00480154300170087	0.0207418251358596	0.00682148012066356
"ADIPOQ"	2.14429473813308	0.893206975214352	0.20536924410319	0	0	0.000874686914923702	1.51351068812266	0	0	0.00144442314321084	0.0127302596249398	0	0	0.00335582596339089	0.00683842620532487	0.00187807040289246	0.00164273175193214
"MYADM"	2.93199716897965	0.562646690623105	2.37222944704152	2.5468835772874	0.636121758807662	2.32215922377553	2.79422744552175	2.09610129241052	1.18390663072104	1.88160674491906	1.85524419641105	2.34240949031785	2.23253277119233	1.89260289963607	1.25368740626901	2.84570586851443	2.27261296364623
"TUSC5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LRRN4CL"	0.702848060071698	0.225755767505828	0.373115383146216	0.0294424675408585	0.552601490396553	0.259403677725694	0.0346340303195792	0.345359258122148	0.047796213802929	0.798626706248199	0.0681011419863993	0.691806460121037	0.0270980234663341	2.02162969720032	0.0965108994743811	0.395698748825761	0.0297257552437089
"SERTM1"	0.000636526056777421	0.000427292165310737	0.00169554219692743	0.191634788555902	0.00301032437228019	0.00297167964737234	0	0.00454664977887872	0.00124782911856435	0	0	0	0	0	0	0	0.00121906427508411
"CNRIP1"	1.2252458063323	0.546692000037503	1.11143066225167	0.991956491307814	0.426960207596918	1.31304219290632	0.833974622620998	1.79656480473745	0.704281947782834	1.02781592265127	1.18507737908596	1.20689870975348	0.756641636916481	1.50714955271594	0.521432821869622	1.53417072630972	1.65002476467992
"FMO2"	0.179447276696635	0.0854456053408237	0.0945720548941003	0.00593514290842335	0.0401427565897611	0.0572244562216735	0.0528565706038507	0.00108823683490745	0.00143563434109696	0.0748368027726112	0.00323123651386487	0.457386324170543	0.0586026451265575	0.0304461281128335	0.0228433904183635	0.0541091030146762	0.0424990916118825
"PDLIM3"	1.00765232396651	2.60283625803071	2.42764521270539	0.919899264124333	3.35565338345648	1.80180586423507	0.901836127651699	0.899172879794307	4.32173474212479	0.392890376366254	2.83344800513592	2.30489129469247	1.06860873316005	0.685584055820712	2.26690661062777	1.58581859924425	0.360478851531046
"LCN6"	0.0217104829121442	0	0.0892407740547667	0.0396160216583584	0.144287482089272	0.0863522733835638	0	0	0.019969343137048	0.0276814095548762	0.0360272279516993	0.0322829491211003	0.0538722777368109	0	0.144728205001034	0.0581441068271252	0
"P2RY14"	0.238480188580125	0.0505003210263921	0.152000960634551	0.0123246411392466	0.0569576011068941	0.155922697087271	0.0291963655096834	0.0197587112447144	0.0190058585843877	0.204399445830503	0.163182170272489	0.161128163497862	0.31111595521643	0.0355039443327327	0.0372148569717356	0.0118576258767403	0.0630042664743757
"DCN"	5.30527524272718	3.84585049164484	5.47869817805429	3.45625965867192	3.66196808659272	2.62831868227895	2.95543822918372	4.09362768550294	2.66351078651701	1.7464180924842	2.51454741970302	3.24429041636411	0.692869987799916	0.555653106575194	1.62270673164343	2.50954917491162	2.10256059005529
"PCDH9"	0.0238022707990087	0.000588583058193659	0.00535304519970654	0.0334676942197011	0.0975255489606641	0.145916126270829	0.0382117293863991	0.0445270561783944	0.00270610656317054	0.00300704472361698	0.00112448889393392	0.00707802996121342	0.0113156878534983	0.074637920473263	0.000280309513503263	0.00481231141234983	0.00325934595141333
"ACACB"	3.9950261301553	3.25899666638779	2.68164033813486	2.74230655266086	2.87924262817053	2.48640151120376	2.42515528073003	3.10261263444241	3.29801468757153	3.10492100698589	3.18570734022684	3.17974021361506	3.04387955562532	2.2240949079656	2.05805781255328	3.22841600894268	5.05670229778747
"MCAM"	4.63014155063952	5.25294605542225	2.27044909461776	3.34551223382478	6.1063731810923	3.62782508549824	3.41562028290789	2.02814760471857	6.08517440125526	1.33500626767591	4.48383286188262	3.81390271830443	1.35945316804521	3.38105406434785	2.4338424505966	3.71644411915557	3.44568515477402
"TGFB1I1"	6.69904399832918	5.25088846735721	6.22285265803847	5.2538691099761	5.66983866144899	5.95773054458983	6.61329599319828	6.67334188319713	3.93184031479077	4.38267994330042	6.21870980228654	5.94318719102084	5.66510171097566	6.0134914077275	5.44161498101193	7.94644805117688	4.76963317651716
"WISP2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SVEP1"	0.18696809062723	0.046149571501389	0.259249151816806	0.0877467918256399	0.0543068025897009	0.0692484801698341	0.0697795676545136	0.318377274276898	0.0158150085286114	0.0306075310199542	0.0361188422941148	0.0509667797026329	0.0901914098659625	0.0316458944509832	0.00885327980423939	0.0384697974949052	0.0241300356789469
"MRVI1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"INMT"	0.134370210349047	0.0918572378769326	0.0999151848043957	0.192640056676931	0.0475322482413566	0.0492508936386184	0.0400585131495192	0.403222612736363	0.0145613425361223	0.0687940182417361	0.0362206993377979	0.220709657794058	0.239322650327922	0.133846412672807	0.0435222754827445	0.0474862734121358	0.196758609304964
"HBB"	4.37767936286937	4.26793609784056	6.56775203062227	3.54882019019818	3.96514840106255	2.03514255562759	2.78090007528303	6.14156887918515	7.79428407752053	3.24506082905386	9.19206889104632	3.60299566591826	3.19665999404678	7.85317843769585	1.0597785792079	4.30704326117148	5.45368168293828
"TSPAN2"	0.770520583114981	0.0770487269294132	0.328926101925985	0.0569500784857589	0.158359676043725	0.159486016825394	0.114216762195872	0.0184022921436671	0.100912993496185	0.124605267891415	0.343643919270129	0.0893624459196366	0.114004937131199	0.0786246743278193	0.0880760760413165	0.0782703524500093	0.0972033176116117
"FP325317.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PARVA"	1.94226951996728	1.24369508039408	1.69760258577234	1.28295422429286	1.08705382563336	1.69565753952703	1.8057179508334	1.43826109682625	2.12410823268935	1.69371661007184	1.15520063416115	1.65677581228022	0.721239465161844	1.53529288586243	1.28834818168005	0.896917966966332	0.773143380996314
"COX7A1"	1.08417567423911	0.924423749024254	0.62812062983063	0.311363598553955	0.363898764326814	1.66184082071779	0.404220302537017	0.458889947342906	0.229363087296971	0.413898278992012	1.51571637380133	0.602183866978026	0.407329524145253	0.204831357542793	0.56995151135933	1.60862834957878	0.169903786478394
