"Pt22.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt10.baseline"	"Pt27B.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt23.baseline"
"MUSK"	0.000731790982383342	0.00417549704525922	0.000948917019147458	0.00763993287466614	0.00174845899743958	0.00745718152108314	0	0.0192865396545663	0	0.0670325095171907	0.00179429854582377	0	0.0572614067135792	0.0541568449310236	0
"MAGI2"	0.160618147553023	0.424515057403079	0.27885766454468	0.235145853201563	0.155695697817587	0.168005243814218	0.232638806995838	0.166198106920087	0.132517331053064	0.0538635953925881	0.126069600483672	0.0865077502512558	0.113814058951469	0.0250049164627751	0.124896253738719
"LDB2"	6.99706680921229	5.14754999430618	4.52098637250968	5.14031398288805	3.36666629150053	5.45160380989254	4.12327030824293	5.08345457521163	3.69626995758287	4.05900877475946	5.35319965593229	5.14655736358464	5.14034354655713	4.88351787159207	6.07414772356119
"HGF"	0.363467361566154	0.18647569032049	0.538284178107557	2.03080582415881	0.0636673550905084	0.322271041789135	0.222968527029434	0.294257235342387	0.109273451206419	0.0366204470306508	0.124913721432488	0.252647123560626	0.846773887230182	0.15440367560786	0.126571351511288
"CNR1"	0.0472545771699067	0.349432384790245	0.0409658425500668	0.00550669260004937	0.00597906055908274	0.00129612142839173	0.0162278306016661	0.0145397399819765	0.00729477101767971	0.0863836768854799	0.0323509967284275	0.00384498983473806	0.113639959402444	0.00668881290002238	0.0231139108289124
"HPGDS"	0.1712208879331	0.119790024983929	0.0410733289988657	0.0707685141913143	0.0921067923292668	0.0101669166842538	0.176996231263509	0.219875973291048	0.0162908530601242	0.00636990752130416	0.288647644206109	0.055500567952686	0.0596713325534139	0.12217520156581	0.19222491107275
"ERICH4"	0.00570198120533688	0.00308882977067132	0.0121843653475344	0.007367592344998	0.00213219826419373	0	0	0.00132656720864769	0	0	0.00304415265482299	0	0.00580839363452294	0.00131208644215429	0.0102833739016036
"GLDN"	0.222147560080886	0.140357708134001	1.06104436756202	0.062939027143997	0.0369921169198559	0.0974123178046169	0.0788651682303671	0.0362579330984282	0.0676234213621788	0.024278981534064	0.165361246642678	0.0572582113030477	0.0980806108032825	0.0238275214870915	0.0962219870763179
"C3orf49"	0.00251309964689919	0	0.00290833549606868	0	0.0048974218502045	0	0	0.00247056514860682	0.00814348782872451	0	0.00182866362876509	0	0	0.00469373857484711	0
"PTGDR2"	0.0957190907760593	0.0397079690415851	0.0169469254259794	0.0396152543629308	0.0965065380244895	0.157227045050606	0.0668688685314908	0.058548738374421	0.162168103977632	0.122075084221999	0.0660585407309548	0.0115513583378145	0.0302546545041249	0.0753995843262362	0.0969446359260414
"COL6A6"	0.112773524965991	0.0611882455586301	0.0513712465722648	0.000148191109925737	0.00896631488136692	0.0501849592506974	0.0381476386951077	0.011973192247154	0.006599598633435	0	0.290391657722549	0.0291699473634185	0.00117115484409482	0.0379288790594076	0.0304092718763961
"ALAS2"	0.231950166689193	0.495119603881313	0	0.256712684544134	0.0357504754436279	1.09288804294331	0.594850204899364	1.67645922979906	0.281131571616642	0.120651000868529	0.843372592066938	0.25255214494684	0.0282639944550199	0.0674053856178045	2.59268306079429
"KLF17"	0.054272396485103	0.038905434253687	0	0.00436628307184644	0.0431867815268035	0	0.00926934682137925	0.0151040047766478	0.00837152116679147	0.0127850705021732	0.0478540062203624	0.0139777545887627	0.0877721195598093	0.0152000475998934	0.00661068715041416
"OVCH1"	0.00174147314703986	0	0	0.00128320461146708	0.00251675383260032	0.00191646250770816	0.00256898378175117	0	0	0	0.000657991832489577	0.000302006849733486	0.000228872428648066	0	0.000483769534192653
"NPY5R"	0.0252800687368457	0.0312687891109809	0.00465151986604322	0.00280783754107211	0	0.0242512259563921	0.0071569799407967	0	0	0.0144545032688728	0.00139114464775865	0	0.0547590867131875	0.00443516931891118	0
"SLC18A2"	0.380768980240127	0.214533033651932	0.296416769079473	0.168820710196269	0.494694334103726	0.092981334335563	0.157805450464303	0.351637344466275	0.311456319027854	0.123193873577844	0.57088040283204	0.340083408272098	0.234691635943533	0.603035186886478	0.321022934748237
"PLPPR4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
