"Pt15.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt27B.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt8.baseline"	"Pt10.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt14.baseline"	"Pt28.baseline"
"PRSS1"	0.00543479342914001	0	0	0	0	0	0	0	0	0	0	0	0	0.00741523922840873	0.0395666417270265	0.0192624381570804	0.00836817324624555
"GP2"	0.00173788072003296	0	0	0	0.000452070025966414	0.000606036547878856	0	0	0.00753613350584235	0	0	0	0	0	0	0	0
"JAM2"	0.12604405339864	0.148318389835864	0.483628739230347	0.256625738396689	0.653456714684906	0.704744347083744	0.126318179795411	0.10692296252104	0.19158322530066	0.233197063316472	1.4566229081455	0.50505105070311	0.0468240818532365	0.153250483043818	0.251691715091274	0.358213051699264	0.447708704845124
"FXYD1"	0.555012276884481	2.75526280559967	1.40209452330428	0.519021505176942	1.33841515361729	3.27420767872066	0.0867554738072816	0.0413797648079743	0.12145431197792	5.89740205492927	0.202453373786346	0.902462344418846	3.68651437804278	0.334908223602767	0.922841185754575	0.573438280145376	0.840676135398749
"ANGPTL1"	0.104324516738287	0.120497274970436	0.795942237737111	0.518513452662521	0.312737653906359	1.63247333588552	0.0843089068881031	0.0834556157115699	0.0945980287789643	0.338982553289085	0.333925291731275	0.557110014564971	0.0821598682926288	0.0836088556494151	0.265080874199643	0.25923785787697	0.0997098501701884
"OGN"	0.178144145148044	0.275357323210744	1.78934982713551	1.15404299221389	0.0910004561911854	3.45681531296809	0.0949332115128413	0.0663077916177281	0.535297717054699	0.25050927433372	0.618279703262862	1.84368391147449	0.146276217275121	0.162242299523546	0.0314585090458417	0.636705646439864	0.00814984920444194
"MFAP4"	0.0853249648381163	0.490558588402968	2.35680411255023	0.715557690048581	0.378889963867467	2.28533273749683	0.0767615794595264	0.0259011167638728	0.140572156749961	0.510142235729694	0.16833780374748	3.23306675331264	0.111446201104244	0.345249698602458	0.836005582063868	1.02664709282806	0.270582429818664
"MYH11"	0.0100667008196528	0.146318406795769	0.310150268216795	0.0568152093213581	0.0643278264514589	1.12161419790469	0.0125646191511104	0.0491952898782899	0.0259808972335236	0.0201411422483198	0.0759152548676354	0.114543803229563	0.0508793558142737	0.00646492639802558	0.167598425550593	0.12651266002427	0.300055578047843
"LMOD1"	0.0515909106313267	0.104449745094331	0.472157135558508	0.145378731204046	0.198013303956314	1.05655299931474	0.0270402882348543	0.0596587276435285	0.0450882022623015	0.073137140393303	0.153999593828237	0.125099399976938	0.0962549686338924	0.0488597593276726	0.11434789125545	0.14948498672818	0.130243731147411
"ATP1A2"	0.118909993236311	0.476612450876277	0.0390501656755144	0.0116586687182723	0.0273147343663054	0.57610864951887	0.0135800268086053	0.0224339174312363	0.0229801161512802	0.0188299341986089	0.00339446446583278	0.853199391269276	1.37952890592412	0.0242551442357651	0.00360961770703056	0.108329410477685	0.0347880399285625
"SPARCL1"	2.22859257581345	1.81758814641041	4.52045443596986	2.61433183650384	6.07969844893568	5.35386755414616	1.4936004596043	2.24724490278458	2.02630824334451	6.84306131878108	2.22498398256318	2.41564085428099	1.90983986418677	3.44878502476556	3.88846822926831	2.43146007050066	2.98105060382476
"CD34"	1.10404750353269	1.1689698240296	2.50443903948305	1.11185599218416	1.55902089109885	3.01518515725549	0.565687054432724	1.16942000581481	1.10170181388553	1.56395946965242	1.43492089995048	1.8082701191736	1.51955252550896	1.02575038756407	0.893435925054315	1.31328958303405	1.62484196120129
"PDE2A"	0.134842183264805	0.241318828119479	0.421392304452237	0.184919295089176	0.185048786062985	0.848984832023989	0.115743741792655	0.0819039456570524	0.168791932438039	0.303645167734281	0.325193007847546	0.212128003811373	0.075257446720992	0.176397455744762	0.16114387778001	1.11831977894518	0.401338762039838
"LIMS2"	1.05004297554739	0.630963383688518	0.940367480572736	0.301745364312706	0.366690311188982	1.25037609902892	0.295849339994128	0.798417609941786	1.44721941435716	0.465662654625531	0.552440442565232	0.557795265422126	1.09936472299422	0.934292871980154	1.19428987491351	0.436869914224757	0.836299202034269
