"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt32.baseline"	"Pt27B.baseline"	"Pt4.baseline"
"VASH2"	0.406630270920924	0.66670388143379	0.767436152994176	0.228451160404446	2.44908061626288	0.46581360483151	1.75639566573367
"NEDD1"	2.73464567964843	3.40396299378625	2.90047076703757	2.94481160429904	2.3319201431348	3.33270005786454	3.08346868990984
"REM1"	0.821352251661466	2.036211424408	2.03948235317867	0.219579310536433	1.2513918931648	0.152858487808996	0.479774315425519
"NPPC"	0.117191673691787	0.0583573684847809	3.16545213220861	0	1.47106256884613	0	0.0372421982278114
"NEURL3"	2.40785169320358	0.490624551367925	0.600905312892953	1.42989443437207	0.44508359682491	0.493786166199861	0.125258108789873
"C8G"	1.14824756317463	0.959764592109324	1.14246572032538	6.77551151901928	0	0.137795836611249	0.102324207070975
"FAM151A"	0	0	2.9209563682549	0.541635265521611	1.59851766173728	0.142992752315575	0.197857215639408
"LRRC49"	0.255518861139719	1.40048328100928	0.721720002000859	1.28507369089603	2.2144792170641	1.8401066704079	1.85143523673245
"FATE1"	1.24212381453802	0.0902674282569934	0.216336899242796	0.0850882148082479	0	0.0296269528305198	0.881612548247567
"ARHGEF9"	2.29445459966642	2.26041865400087	2.12763988243406	2.16294634485038	1.38388397024795	2.91339688403371	2.71813033796728
"ACHE"	1.37646820843784	2.11984252732813	3.65314029201972	0.728090301490428	1.55059042724	0.15096058610933	1.05540392049481
"PINX1"	4.32786697140204	4.0780376298084	4.06269162969186	3.65990743771091	2.50211670237357	3.40932779563189	5.7552361113431
"ANKIB1"	3.13782809362139	4.16205289776747	3.22133113497307	3.59058405599226	2.84660764388813	3.8094144442359	3.62219242044641
"KRIT1"	2.93033900414305	3.87531317544164	3.0140642248898	3.56401226543737	3.09253897625201	3.04502614363389	3.64569589516432
"VPS50"	0	0	0	0	0	0	0
"LMTK2"	1.95989439223699	2.67926051164723	2.15639661659767	2.30492714382915	1.68801470216733	2.98469688774098	3.24544242024487
"RBM48"	2.931821080258	3.49867850576927	2.98943333074007	3.63549902442323	2.87349234509555	3.23933999040758	3.80224492551483
"PEX1"	2.41558832328132	3.29243281037518	2.29985420103149	2.81898550054929	1.66941687557108	2.9432631049992	3.15807279974726
"TNKS"	2.37417842437008	2.74181319166799	2.37548155831406	3.04442909335976	2.94804945322795	3.44414623519179	4.14012013277623
"FAM208B"	2.67731992980184	3.40489767389073	2.82814816537399	3.09312067540246	1.87208407764759	3.14938050646909	2.93712589959458
"RSF1"	1.9790210983847	2.79563293546658	4.44505789839225	2.82587413988955	4.96131771866508	3.78242953417965	3.02765745574078
"GATAD1"	3.09092624068744	3.93682636033577	3.97897352321573	4.03569868162139	4.75675111489999	3.57767051585989	3.97558433330703
"FAM133B"	3.42837826386104	3.69247183524077	4.91025776057993	3.49125537618082	5.03524999213725	3.85422510324324	3.57012893518223
"VANGL1"	2.9155514943582	2.31902102281936	1.14627723081595	2.5600032124001	1.48846873503193	2.88880071206265	1.88164895904495
